Error Type,Topic Guid,Message
Warning,02128c70-9d27-4388-9374-a11bce68fdb8,Video is found in md file:02128c70-9d27-4388-9374-a11bce68fdb8.md total found:1
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Video is found in md file:0572894d-c437-4b7d-8ac6-8405496e2145.md total found:1
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Found invalid msdn links in md file:0572894d-c437-4b7d-8ac6-8405496e2145.md
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<a href="http://msdn2.microsoft.com/RU-RU/library/6sh2ey19" target="_blank">List&lt;T&gt;</a> in md file:0572894d-c437-4b7d-8ac6-8405496e2145.md total found:0
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Missing tables headers in file:0572894d-c437-4b7d-8ac6-8405496e2145.md
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Fixing missing end table tag in file:0572894d-c437-4b7d-8ac6-8405496e2145.md
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Found invalid tables saving file:0572894d-c437-4b7d-8ac6-8405496e2145.md
Warning,06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5,Found invalid msdn links in md file:06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5.md
Warning,06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5,Missing tables headers in file:06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5.md
Warning,06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5,Fixing missing end table tag in file:06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5.md
Warning,06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5,Found invalid tables saving file:06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5.md
Warning,0942fdce-3227-496a-8873-399fc1dbb72c,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Приложение Silverlight- размещенное в веб-части (или внутри тегов &lt;object&gt;) на веб-странице надстройки. </p> in md file:0942fdce-3227-496a-8873-399fc1dbb72c.md total found:0
Warning,0fa088c5-54c6-482c-84ed-51c4f77c4127,Found invalid msdn links in md file:0fa088c5-54c6-482c-84ed-51c4f77c4127.md
Warning,135bf6be-b118-4d2c-8d40-27f5060b06f3,Video is found in md file:135bf6be-b118-4d2c-8d40-27f5060b06f3.md total found:1
Warning,135bf6be-b118-4d2c-8d40-27f5060b06f3,Found a an ul list inside a table in html file:135bf6be-b118-4d2c-8d40-27f5060b06f3.xml
Warning,135bf6be-b118-4d2c-8d40-27f5060b06f3,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;full_token_issuer_name&gt;</i> in md file:135bf6be-b118-4d2c-8d40-27f5060b06f3.md total found:0
Warning,135bf6be-b118-4d2c-8d40-27f5060b06f3,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;client_ID_of_SP_app&gt;</i> in md file:135bf6be-b118-4d2c-8d40-27f5060b06f3.md total found:0
Warning,135bf6be-b118-4d2c-8d40-27f5060b06f3,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;realm_GUID&gt;</i> in md file:135bf6be-b118-4d2c-8d40-27f5060b06f3.md total found:0
Warning,16913e6d-4fc6-4c5e-84a4-6c2688703798,Found nested table in md file:16913e6d-4fc6-4c5e-84a4-6c2688703798.md
